state,selected_strata,optimized_los,objective
US,31_2020_Summer,14.999928469668161,45915
US,32_2020_Summer,14.638480623341868,181088
US,33_2020_Summer,14.558060428674068,161413
US,34_2020_Summer,14.659648829380783,138822
US,35_2020_Summer,14.871826099009683,115913
US,36_2020_Summer,12.167032766328461,50541
US,36_2020_Fall,14.38241280600861,92302
US,37_2020_Fall,11.852637199472392,88398
US,38_2020_Fall,14.220028649298145,87598
US,39_2020_Fall,14.872754282589776,84500
US,40_2020_Fall,14.478790481864506,80535
US,41_2020_Fall,11.469027247186977,79859
US,42_2020_Fall,11.360352055119384,94196
US,43_2020_Fall,12.089267466464594,103435
US,44_2020_Fall,12.702387716565603,120439
US,45_2020_Fall,11.34310707285881,136604
US,46_2020_Fall,12.825008852064999,165074
US,47_2020_Fall,12.689063459529647,210437
US,48_2020_Fall,14.93584438388121,255994
US,49_2020_Fall,14.25400910984799,148811
US,49_2021_Winter,14.718291313792838,280298
US,50_2021_Winter,14.787895202061673,320873
US,51_2021_Winter,14.737904737242031,357101
US,52_2021_Winter,14.847890506833734,379503
US,53_2021_Winter,14.434934321649466,651644
US,1_2021_Winter,14.71829861526017,427265
US,2_2021_Winter,14.796321329062748,448723
US,3_2021_Winter,14.684073541394698,428939
US,4_2021_Winter,14.875323822911529,379471
US,5_2021_Winter,14.769472440086904,322799
US,6_2021_Winter,14.593502473265833,276489
US,7_2021_Winter,14.61160702838603,232738
US,8_2021_Winter,14.789198826744695,179764
US,9_2021_Winter,14.999928469668161,40210
US,9_2021_Spring,14.805766171106837,135064
US,10_2021_Spring,14.772864300872541,120554
US,11_2021_Spring,14.747635420839075,107883
US,12_2021_Spring,12.407283475353822,101375
US,13_2021_Spring,13.071394031637,104843
US,14_2021_Spring,12.167184270002522,107396
US,15_2021_Spring,13.560295046273838,115723
US,16_2021_Spring,14.869673753861631,124013
US,17_2021_Spring,14.760766910971459,117208
US,18_2021_Spring,14.91475561961447,105913
US,19_2021_Spring,14.712276726426815,94780
US,20_2021_Spring,14.807353204182995,78687
US,21_2021_Spring,13.805033799974156,67487
US,22_2021_Spring,11.738426184789642,31030
US,22_2021_Summer,14.574152555187876,50562
US,23_2021_Summer,11.621331388073669,47392
US,24_2021_Summer,12.167184270002522,40846
US,25_2021_Summer,11.259946334924349,36195
US,26_2021_Summer,12.167184270002522,34776
US,27_2021_Summer,11.849220847139781,36968
US,28_2021_Summer,12.161390321322807,45668
US,29_2021_Summer,11.37384301085287,63253
US,30_2021_Summer,11.232905672202618,95393
US,31_2021_Summer,12.835921350012617,144127
US,32_2021_Summer,14.622931313451627,203928
US,33_2021_Summer,14.944742465232574,268332
US,34_2021_Summer,14.921808756473856,318087
US,35_2021_Summer,14.153896757477428,218060
US,35_2021_Fall,14.762470866922575,264980
US,36_2021_Fall,14.66555243514842,343432
US,37_2021_Fall,14.545825585562232,329281
US,38_2021_Fall,14.787196032625914,307045
US,39_2021_Fall,14.887515646900722,272919
US,40_2021_Fall,14.699337365219273,234608
US,41_2021_Fall,14.80434114841642,207439
US,42_2021_Fall,14.697268289366598,185267
US,43_2021_Fall,14.87289313579622,166021
US,44_2021_Fall,14.856290303527715,150074
US,45_2021_Fall,14.72019889008987,138685
US,46_2021_Fall,14.51547462987051,141938
US,47_2021_Fall,14.680183932975417,153035
US,48_2021_Fall,13.01122365005568,112468
US,48_2022_Winter,13.882543326223077,140911
US,49_2022_Winter,14.861287491155057,190975
US,50_2022_Winter,14.541382144298414,220422
US,51_2022_Winter,14.812231110077107,205536
US,52_2022_Winter,12.82773916912313,383540
US,1_2022_Winter,11.613898503309061,301201
US,2_2022_Winter,13.08345231879283,419046
US,3_2022_Winter,14.808287333515182,484484
US,4_2022_Winter,14.92462315661831,463220
US,5_2022_Winter,14.942588865106913,416778
US,6_2022_Winter,14.986382666636265,333165
US,7_2022_Winter,14.79398923512812,256763
US,8_2022_Winter,14.832866751698619,185495
US,9_2022_Winter,12.166321559284473,64180
US,9_2022_Spring,14.401452408963115,103632
US,10_2022_Spring,14.29652373383442,93118
US,11_2022_Spring,14.667428725173158,67107
US,12_2022_Spring,13.8372209919245,50227
US,13_2022_Spring,14.244289886653574,38914
US,14_2022_Spring,11.679151760258865,31843
US,15_2022_Spring,13.98035887128469,29058
US,16_2022_Spring,12.167184270002522,28235
US,17_2022_Spring,9.744862107291171,31484
US,18_2022_Spring,8.570687490014144,34807
