state,selected_strata,optimized_los,objective,simulation
US,Summer,3.4170328889565504,27043027,1
US,Summer,3.3039173128581236,27551719,2
US,Summer,4.079496000529082,29606315,3
US,Summer,6.224689674937657,31173041,4
US,Summer,8.24601865088259,32907483,5
US,Summer,4.173398896654446,29273374,6
US,Summer,4.015501146783727,29379655,7
US,Summer,3.5037065278839417,28402920,8
US,Summer,3.741944564088877,28813634,9
US,Summer,3.583312823950556,28682130,10
US,Summer,3.6314696398283925,28282689,11
US,Summer,4.302648541221755,29143156,12
US,Summer,3.6687370800100947,27918053,13
US,Summer,4.49491449575697,29443260,14
US,Summer,4.082039324993691,28222840,15
US,Summer,4.165300324255545,28585040,16
US,Summer,3.4130599458182806,27275547,17
US,Summer,4.712814142295566,29009449,18
US,Summer,4.471582763498837,29030211,19
US,Summer,4.750776405003785,29243441,20
US,Summer,4.763918880784986,29615436,21
US,Summer,4.0986710681166345,28717951,22
US,Summer,4.759574054234074,29943475,23
US,Summer,3.2564314083697483,27254756,24
US,Summer,3.4133022449835964,27463684,25
US,Summer,3.7581983799596004,28442289,26
US,Summer,3.293312304177228,27332469,27
US,Summer,4.968491819072351,29347617,28
US,Summer,4.096274220469398,29488494,29
US,Summer,3.216324471291262,26808354,30
US,Summer,3.6687370800100947,28178132,31
US,Summer,3.413261504017263,26630874,32
US,Summer,4.338082164196324,29507811,33
US,Summer,4.848343830073186,29022744,34
US,Summer,4.437176587180336,29610408,35
US,Summer,3.93905005799885,28471481,36
US,Summer,3.2459989253382404,27888440,37
US,Summer,3.971709976427484,28756391,38
US,Summer,4.52104551247669,29741283,39
US,Summer,4.156973227205481,29023012,40
US,Summer,3.4593673343955875,28863434,41
US,Summer,5.8324020405777,31094112,42
US,Summer,4.051319593433421,28931861,43
US,Summer,4.305315455515135,28578042,44
US,Summer,3.5142300730378677,27432782,45
US,Summer,3.160154230425971,27305010,46
US,Summer,3.341973811656825,27416320,47
US,Summer,4.082039324993691,28983972,48
US,Summer,3.66126554389908,28013536,49
US,Summer,4.750776405003785,29152814,50
US,Summer,3.4136399268109363,27085785,51
US,Summer,3.6122494275262986,27355602,52
US,Summer,3.4593673343955875,28049064,53
US,Summer,4.908643814960883,29528886,54
US,Summer,3.427537140459303,28998049,55
US,Summer,5.832815729997476,29925589,56
US,Summer,3.339085011656944,28424615,57
US,Summer,3.6700648479107216,28173670,58
US,Summer,3.2384835262740093,27439301,59
US,Summer,3.6303423755641884,28605475,60
US,Summer,6.208982973762303,31975741,61
US,Summer,5.298863886274321,29800732,62
US,Summer,3.664154742822451,28548862,63
US,Summer,7.583592135001261,32412526,64
US,Summer,4.088734835347007,29511318,65
US,Summer,4.6507751630958305,30004728,66
US,Summer,5.7800227829621305,30911041,67
US,Summer,5.8108570128005095,30744218,68
US,Summer,4.335210047919662,28533326,69
US,Summer,3.655198498715703,28923308,70
US,Summer,4.741204711682855,29824156,71
US,Summer,4.874361306804406,29563515,72
US,Summer,4.269288241968032,28989187,73
US,Summer,3.1861366386881143,27160886,74
US,Summer,4.576648284822913,30307532,75
US,Summer,4.759574054234074,29696803,76
US,Summer,3.5361004676847987,27439716,77
US,Summer,4.082725086820868,29614843,78
US,Summer,3.43711825828476,28086776,79
US,Summer,5.112863371311976,30118413,80
US,Summer,3.4411219938079185,28218673,81
US,Summer,3.4541044928672613,28265248,82
US,Summer,4.652967867043412,28964255,83
US,Summer,4.107412880453824,29027581,84
US,Summer,4.750091949723415,29374142,85
US,Summer,3.78185068256205,28308362,86
US,Summer,4.084116168254237,29039826,87
US,Summer,3.252743109868687,28301092,88
US,Summer,5.197785802058173,31000173,89
US,Summer,3.6061918479115502,29020098,90
US,Summer,3.413406139513107,28863102,91
US,Summer,4.16238306341172,28729629,92
US,Summer,5.832815729997476,30813498,93
US,Summer,3.3990673495078894,27258742,94
US,Summer,3.6219066506272397,27167238,95
US,Summer,3.574732124214429,27959133,96
US,Summer,3.891648337967454,28711081,97
US,Summer,3.15387651413114,27440695,98
US,Summer,4.328182700789087,29330907,99
US,Summer,4.178626197686888,28257036,100
US,Fall,3.810434030938857,42774013,1
US,Fall,3.773094999285227,41290501,2
US,Fall,4.113682250089996,42677634,3
